"","mDiff_dI.vs.dII","mDiff_dI.vs.dPRE","mDiff_dI.vs.H","mDiff_dII.vs.dPRE","mDiff_dII.vs.H","mDiff_dPRE.vs.H","CIlower_dI.vs.dII","CIlower_dI.vs.dPRE","CIlower_dI.vs.H","CIlower_dII.vs.dPRE","CIlower_dII.vs.H","CIlower_dPRE.vs.H","CIupper_dI.vs.dII","CIupper_dI.vs.dPRE","CIupper_dI.vs.H","CIupper_dII.vs.dPRE","CIupper_dII.vs.H","CIupper_dPRE.vs.H","SSMD_dI.vs.dII","SSMD_dI.vs.dPRE","SSMD_dI.vs.H","SSMD_dII.vs.dPRE","SSMD_dII.vs.H","SSMD_dPRE.vs.H","p_dI.vs.dII","p_dI.vs.dPRE","p_dI.vs.H","p_dII.vs.dPRE","p_dII.vs.H","p_dPRE.vs.H","mean_dI","mean_dII","mean_dPRE","mean_H","SD_dI","SD_dII","SD_dPRE","SD_H","N_dI","N_dII","N_dPRE","N_H"
"1",-0.0323333333333333,-0.0926507936507936,-0.135722222222222,-0.0603174603174603,-0.103388888888889,-0.0430714285714286,-0.0827074198871362,-0.159377383668394,-0.205413066959592,-0.121039724387018,-0.168070807625885,-0.118668309318807,0.0180407532204696,-0.0259242036331935,-0.0660313774848528,0.000404803752097462,-0.0387069701518931,0.0325254521759501,-0.459308312096067,-1.07715421974189,-1.60908482678121,-0.816769557105333,-1.43794684002692,-0.493654589100868,0.190060443822944,0.0103728830768322,0.00134744183391905,0.0512606236474402,0.00632929408546112,0.235346243385011,0.173777777777778,0.206111111111111,0.266428571428571,0.3095,0.058738355820064,0.0387989833772885,0.0628353858449657,0.0605334618207153,9,9,7,6
"2",-0.0606666666666666,-0.123047619047619,-0.181666666666667,-0.0623809523809524,-0.121,-0.0586190476190476,-0.135889307260767,-0.213191545749165,-0.29176367517217,-0.13907925783902,-0.223503347238842,-0.169148223123466,0.0145559739274336,-0.0329036923460731,-0.0715696581611636,0.0143173530771151,-0.0184966527611582,0.0519101278853705,-0.580216921234346,-1.03593306220349,-1.37649701305721,-0.657879383815434,-1.09099512691298,-0.471194751795257,0.105122093990469,0.0110836811592451,0.0041854033917065,0.100267773983951,0.0267894402979786,0.263322363009997,0.299666666666667,0.360333333333333,0.422714285714286,0.481333333333333,0.0895823643358446,0.0539212388581716,0.0779972526988703,0.0969178346160637,9,9,7,6
"3",-0.0702222222222222,-0.144904761904762,-0.240333333333333,-0.0746825396825397,-0.170111111111111,-0.0954285714285714,-0.164216640367472,-0.255551911771947,-0.361842454770576,-0.165600141569492,-0.276855294780142,-0.214679497998457,0.0237721959230274,-0.034257612037577,-0.11882421189609,0.0162350622044128,-0.0633669274420798,0.0238223551413146,-0.540029382973575,-0.988672653593156,-1.58814656448317,-0.665532378277031,-1.43711316674719,-0.700019534504794,0.130083097362008,0.0139512197652985,0.00103557962833719,0.0972729518258996,0.00647282795678523,0.105314878539774,0.394666666666667,0.464888888888889,0.539571428571429,0.635,0.113573764576156,0.0633234641433262,0.0926406266941546,0.100007999680026,9,9,7,6
"4",-0.0807777777777778,-0.169063492063492,-0.291944444444444,-0.0882857142857142,-0.211166666666667,-0.122880952380952,-0.188797657505113,-0.295088651915516,-0.447664552988312,-0.193333092819659,-0.355321180153283,-0.276825065641258,0.0272421019495571,-0.0430383322114685,-0.136224335900576,0.0167616642482302,-0.0670121531800501,0.0310631608793535,-0.538372645940202,-1.01326011048883,-1.55654541542918,-0.675175806002013,-1.35082487832643,-0.712256553900383,0.130223445265547,0.0121960507321007,0.0017971591186954,0.0910679359991192,0.0103648565533778,0.104987099935677,0.471222222222222,0.552,0.640285714285714,0.763166666666667,0.12894454018858,0.0767170124548656,0.105889430202317,0.136204870201717,9,9,7,6
"5",-0.102333333333333,-0.187809523809524,-0.325833333333333,-0.0854761904761904,-0.2235,-0.13802380952381,-0.225880966972231,-0.325070822991917,-0.503423448331046,-0.197158534882578,-0.388359316397304,-0.309955786363692,0.0212143003055644,-0.0505482246271302,-0.14824321833562,0.026206153930197,-0.0586406836026959,0.0339081673160727,-0.595242993103476,-1.0270207553415,-1.52466843545225,-0.603912789867562,-1.24430079256231,-0.725960878693547,0.0970052656051971,0.0108734165030002,0.00208765799839908,0.120827008181296,0.0147143582716608,0.102503704053102,0.536333333333333,0.638666666666667,0.724142857142857,0.862166666666667,0.146567390643349,0.089855439456941,0.109356341945996,0.15552802534163,9,9,7,6
"6",-0.122222222222222,-0.203380952380952,-0.412666666666667,-0.0811587301587302,-0.290444444444445,-0.209285714285714,-0.255782126517886,-0.348332734920724,-0.635199829484048,-0.201766552868384,-0.505183769766612,-0.42766330215807,0.011337682073442,-0.0584291698411807,-0.190133503849286,0.0394490925509234,-0.0757051191222767,0.00909187358664123,-0.654460673831803,-1.05268001663151,-1.61007506002602,-0.5243480271282,-1.26977449842945,-0.894256794035592,0.0698550456531219,0.00937975471054917,0.00239283565798027,0.168771096186377,0.0153539280810474,0.0579834763305001,0.595333333333333,0.717555555555556,0.798714285714286,1.008,0.155317416924181,0.103696806979664,0.114908244969213,0.203881338037595,9,9,7,6
"7",-0.142111111111111,-0.223206349206349,-0.449611111111111,-0.0810952380952381,-0.3075,-0.226404761904762,-0.289359334670007,-0.377706534985648,-0.646926268128109,-0.217352227959214,-0.494644328097808,-0.417850036453978,0.00513711244778441,-0.0687061634270508,-0.252295954094113,0.0551617517687375,-0.120355671902192,-0.0349594873555463,-0.685498451528596,-1.08529018133267,-1.88997732449006,-0.456923875196161,-1.43694621937882,-1.0659268233387,0.0575045440505981,0.00785488677179219,0.000435507027593886,0.221261497169718,0.00500528874689036,0.0254238326049727,0.647222222222222,0.789333333333333,0.870428571428571,1.09683333333333,0.163976200847698,0.126844392859913,0.124136829268966,0.172350128130694,9,9,7,6
"8",-0.175888888888889,-0.229952380952381,-0.490666666666667,-0.054063492063492,-0.314777777777778,-0.260714285714286,-0.334971290374182,-0.388385931155019,-0.7517016480929,-0.192376810295853,-0.569839326035661,-0.515705138181911,-0.0168064874035955,-0.0715188307497426,-0.229631685240433,0.0842498261688689,-0.0597162295198943,-0.00572343324666064,-0.784704722815272,-1.08442786695646,-1.64619740863058,-0.296109728000835,-1.13283411741573,-0.972072855641621,0.0324312876174275,0.00768214716158535,0.00229543723942303,0.415570641681023,0.0221860580786186,0.0462424253612516,0.696333333333333,0.872222222222222,0.926285714285714,1.187,0.175885616239646,0.138945832771064,0.118445084723842,0.240633331024611,9,9,7,6
"9",-0.173111111111111,-0.255126984126984,-0.417888888888889,-0.082015873015873,-0.244777777777778,-0.162761904761905,-0.336123512995155,-0.430059563818651,-0.607979952341991,-0.234677433197881,-0.416860939885311,-0.345274093506274,-0.0100987092270674,-0.0801944044353173,-0.227797825435786,0.0706456871661348,-0.0726946156702444,0.0197502839824646,-0.755482454656007,-1.09712607697924,-1.74865983712969,-0.415394610819462,-1.19414671221605,-0.779598254829681,0.0388871102944772,0.00740889834308095,0.000427081140275145,0.266191956610904,0.0100012175100939,0.0751907898950908,0.744444444444444,0.917555555555556,0.999571428571429,1.16233333333333,0.183844439072216,0.136770895214507,0.142395993790623,0.152679620993329,9,9,7,6
"10",-0.196555555555555,-0.282142857142857,-0.576,-0.0855873015873015,-0.379444444444444,-0.293857142857143,-0.383388668674299,-0.481973329971512,-0.870425888900521,-0.259583320024645,-0.664122930503717,-0.583507908712584,-0.0097224424368124,-0.0823123843142016,-0.281574111099479,0.0884087168500422,-0.0947659583851713,-0.00420637700170176,-0.748476122619131,-1.06156065201526,-1.68776181769717,-0.380003803937151,-1.22109483742361,-0.937559486121006,0.0404955488727867,0.00903134151983139,0.00165607938735359,0.306878243324066,0.0158414308765529,0.0474563905510411,0.796,0.992555555555556,1.07814285714286,1.372,0.210802039838328,0.156605484507337,0.161870759734866,0.26839299543766,9,9,7,6
