,1,2,3,4,5,6,7,8,9,10
ID01,0.191,0.308,0.398,0.482,0.538,0.62,0.666,0.73,0.804,0.851
ID02,0.198,0.32,0.42,0.509,0.581,0.642,0.716,0.755,0.758,0.822
ID03,0.055,0.108,0.161,0.213,0.26,0.309,0.348,0.383,0.42,0.453
ID11,0.159,0.297,0.395,0.479,0.555,0.619,0.689,0.763,0.827,0.841
ID12,0.218,0.414,0.548,0.662,0.751,0.84,0.906,0.987,1.014,1.14
ID13,0.238,0.395,0.515,0.604,0.697,0.776,0.877,0.988,0.997,1.059
ID21,0.29,0.488,0.629,0.711,0.833,0.966,0.989,1.088,1.175,1.253
ID22,0.269,0.429,0.569,0.692,0.779,0.844,0.939,0.971,1.096,1.119
ID23,0.192,0.323,0.418,0.503,0.58,0.644,0.693,0.747,0.776,0.806
ID29,0.326,0.532,0.695,0.854,0.985,1.126,1.249,1.423,1.382,1.449
ID30,0.355,0.471,0.66,0.743,0.857,1.031,1.09,1.143,1.256,1.382
ID31,0.249,0.417,0.56,0.716,0.749,0.852,0.963,1.042,1.074,1.136
